# Rank est utilise pour trier les peintures;;;;;;;;;
#   - '-1' ou pas de valeur, signifie que la date sera utilisee pour le tri (la plus recente en premier);;;;;;;;;
#   - une valeur positive signifie qu'on utilise cette valeur pour le tri (valeurs les plus fortes apparaissent en premier);;;;;;;;;
#;;;;;;;;;
# Status permet par exemple d'indiquer qu'un tableau a ete vendu ou qu'il n'est pas a vendre.;;;;;;;;;
"#   ""vendu"" -> le tableau a ete vendu";;;;;;;;;
"#   ""indisponible"" -> le tableau n'est pas a vendre";;;;;;;;;
#   Si la colonne est vide, le tableau est disponible;;;;;;;;;
#;;;;;;;;;
# Series est utilise pour permettre de grouper des tableaux;;;;;;;;;
#   - un tableau peut appartenir a plusieurs series;;;;;;;;;
#   - dans la colonne series, on peut mettre plusieurs series en separant leurs cles par un espace: par ex, ;;;;;;;;;
"# ""watermirror australia""";;;;;;;;;
#   - lâ€™identifiant de la serie doit etre un mot unique sans espace ou caractere special;;;;;;;;;
#   - l'intitule de la serie (ce qu'on affiche) doit etre defini dans les fichiers messages;;;;;;;;;
#;;;;;;;;;
# Pour ne pas afficher un tableau, il suffit de commenter la ligne correspondante;;;;;;;;;
#;;;;;;;;;
# rank;filename;title;date;height;width;type;status;description;series
-1;Acrylique/20240529_Distorsion_AC46x55.jpg;Distorsion;20240529;55;46;acrylic;; ;metamorphose
-1;Acrylique/20240704_Eclosion_AC46x38.jpg;Eclosion;20240704;38;46;acrylic;; ;metamorphose
-1;Acrylique/20240822_Aigrette_AC50x76.jpg;L'aigrette;20240822;76;50;acrylic;; ;momentsfeminins
-1;Acrylique/20240915_Pelican_AC55x38.jpg;Le pélican qui s'en va tout seul;20240915;38;55;acrylic;; ;momentsfeminins
-1;Acrylique/20250421_Lectrice_AC50x50.jpg;La lectrice;20250421;50;50;acrylic;;;momentsfeminins
-1;Acrylique/20250504_La piscine-AC50x50.jpg;La piscine;20250504;50;50;acrylic;;;momentsfeminins
-1;Huile/20211229_Automne_FromCezanne.jpg;Automne;20211229;80;40;oil;;Automne (d'après Cézanne);origine
-1;Huile/20220222_Melancolie.jpg;Melancolie;20220222;46;55;oil;; ;origine
-1;Huile/20220601_Terranora creek-Sunset-Egret-Huile.jpg;The great egret;20220601;90;65;oil;;Terranora Creek - Australian Great Egret;watermirror
-1;Huile/20220723_Chardin-Le panier Fraises des bois - Huile.jpg;Panier de fraises des bois;20220723;60;80;oil;;Le panier de fraises des bois (d'apres Jean Siméon Chardin);origine
-1;Huile/20221128_Reve de tropiques_Huile53x70.jpg;Rêve de tropiques;20221128;53;72;oil;; ;watermirror
-1;Huile/20221109_Flamboyance_Huile.jpg;Flamboyance;20221109;32;41;oil;indisponible; ;origine
-1;Huile/20230216_LesDanseuses_Huile.jpg;Les danseuses;20230216;65;80;oil;;Hommage Pina Bausch Le sacre du Printemps;momentsfeminins
-1;Huile/20230706_Donazac_Hu30P_65x92.jpg;Donazac;20230706;92;65;oil;indisponible;Village du RazÃ¨s (Aude France);origine
-1;Huile/20230708_ClairDeSoleil_Huile_30P.jpg;Clair de Soleil;20230708;92;65;oil;;(Couteaux) Couchant sur la plage de Coolangatta - Queensland Australia;momentsfeminins
-1;Huile/20230809_IlotMangrove_40x80.jpg;Ilot mangrove;20230809;80;40;oil;;Ilot mangrove Terranora Creek - Tweed Heads South - Australia;watermirror
